plantId,slug,nomecien,imagemurl,cresc_forma,cresc_taxa,ph_max,ph_min,luz_solar,solo_nutrientes,solo_salinidade,solo_textura,solo_umidade,nome_pop
242,brachypodium-pinnatum,Brachypodium pinnatum,https://bs.plantnet.org/image/o/e87561544555422fbb7d46d50404fd1062be72fb,null,null,7.5,7,5,5,0,-1,-1,Brachiária-de-folhas-compridas
243,calamagrostis-epigejos,Calamagrostis epigejos,https://bs.plantnet.org/image/o/fb6a942f5095a43cdf80c5902f7f76552309a3e3,null,null,6.5,5.5,7,6,1,-1,-1,Cana-comum
244,cardamine-hirsuta,Cardamine hirsuta,https://bs.plantnet.org/image/o/d32b654f16662eb8290dfef1baf09733b1f66b67,null,null,6.5,5.5,5,7,0,-1,-1,Agrião-da-praia
245,juncus-conglomeratus,Juncus conglomeratus,https://bs.plantnet.org/image/o/190d85e036166acebf30ffecc3ddcd5e0e8b1773,Bunch,Moderate,8.8,5.5,8,3,0,-1,-1,Junco-aglomerado
246,quercus-petraea,Quercus petraea,https://bs.plantnet.org/image/o/25ca9dc44f385cd7861b424a200c824c73c88db6,null,null,6.5,5.5,8,4,0,-1,-1,Sobreiro
247,lactuca-serriola,Lactuca serriola,https://bs.plantnet.org/image/o/aa52deada30f132ee55f579500c9b735bd9d21d4,null,null,7.5,7,7,6,0,-1,-1,Alface-selvagem
248,vaccinium-uliginosum,Vaccinium uliginosum,https://bs.plantnet.org/image/o/48f203639b32c2bb89039117b964fa371f15e6a6,Multiple Stem,Moderate,5.7,4.5,5,3,0,-1,-1,Arando
249,geranium-molle,Geranium molle,https://bs.plantnet.org/image/o/681b874be13f040bcb3f03f743a51393902e0c9a,null,null,-1,-1,-1,-1,-1,-1,-1,Gerânio-macio
250,arum-maculatum,Arum maculatum,https://bs.plantnet.org/image/o/1875712523dd5e698b3173f4d2dab9be583f16d4,null,null,7.5,7,3,8,0,-1,-1,Jarro
251,geranium-sylvaticum,Geranium sylvaticum,https://bs.plantnet.org/image/o/1f45de648e96a67b7091904ecefa21dbaa45d5ad,null,null,7.5,7,5,7,0,-1,-1,Gerânio-silvestre
252,sedum-acre,Sedum acre,https://bs.plantnet.org/image/o/6f1e92f3f21e9e49b26997dea3d6fbbb68c6575b,null,null,7,6.5,8,3,0,-1,-1,Sedum
253,polypodium-vulgare,Polypodium vulgare,https://bs.plantnet.org/image/o/f56b0e73b215539b4adf4114168eb5e1dca77e72,null,null,-1,-1,-1,-1,-1,-1,-1,Polipódio-comum
254,zea-mays,Zea mays,https://bs.plantnet.org/image/o/392c8228538e6d2735e3a269ab6f5b1972feb7be,Single Stem,Rapid,7.5,5.5,9,8,0,-1,-1,Milho
255,viola-arvensis,Viola arvensis,https://bs.plantnet.org/image/o/eb67e6fc66875ab4fe312007eafa9e163f76a003,null,null,-1,-1,-1,-1,-1,-1,-1,Violeta-dos-campos
256,achillea-ptarmica,Achillea ptarmica,https://bs.plantnet.org/image/o/19c651856a83fbc545a719dc5562e7bb62f7cd99,null,null,5.5,5,8,4,0,-1,-1,Mil-folhas
257,veronica-serpyllifolia,Veronica serpyllifolia,https://bs.plantnet.org/image/o/38e085472448feab2d567f167573c74461878122,null,null,6.5,5.5,7,5,0,-1,-1,Verónica
258,tilia-cordata,Tilia cordata,https://bs.plantnet.org/image/o/145f731a93ecb612fa12a1861c715d4944f17b96,Single Stem,Moderate,7.2,4.8,7,5,0,-1,-1,Tília
259,sonchus-arvensis,Sonchus arvensis,https://bs.plantnet.org/image/o/a11c01d0faaf19f63de9efda288fbeae7a5342b3,null,null,7.5,7,7,6,1,-1,-1,Serralha
260,pistacia-lentiscus,Pistacia lentiscus,https://bs.plantnet.org/image/o/a2bde857c21b179504cbb8ef7120c780651e2460,null,null,6.5,5.5,7,5,0,-1,-1,Lentisco
261,epilobium-montanum,Epilobium montanum,https://bs.plantnet.org/image/o/f503f3339e576187828e4284ee1610a4ce99c89b,null,null,6.5,5.5,5,6,0,-1,-1,Salgueirinha-de-folhas-estreitas
262,salix-alba,Salix alba,https://bs.plantnet.org/image/o/235447642ff7a4a72d4fd64db69159844896ff75,null,null,-1,-1,-1,-1,-1,-1,-1,Salgueiro-branco
263,erica-tetralix,Erica tetralix,https://bs.plantnet.org/image/o/eb9e8de66941fa68a93cd1caf9e2d086b9d623cd,null,null,4.5,4,6,2,0,-1,-1,Urze
264,melampyrum-pratense,Melampyrum pratense,https://bs.plantnet.org/image/o/94ca5146022cbb6e5f8fba14776e83da2d1bef0a,null,null,5,4.5,6,2,0,-1,-1,Tinhosa
265,tripleurospermum-inodorum,Tripleurospermum inodorum,https://bs.plantnet.org/image/o/72a3731a3036875b596c60cdb7dd87efe0b5407f,null,null,7,6.5,8,6,0,-1,-1,Camomila-malmequer
266,eleocharis-palustris,Eleocharis palustris,https://bs.plantnet.org/image/o/b28acfaa2f16adaa6ef81ab931313cd69f954243,Rhizomatous,Moderate,8,4,8,5,1,-1,-1,Junça-dos-pântanos
267,solanum-nigrum,Solanum nigrum,https://d2seqvvyy3b8p2.cloudfront.net/4fef33fde95d87b1344335f39b64a466.jpg,null,null,7.5,7,7,8,0,-1,-1,Erva-moira
268,arenaria-serpyllifolia,Arenaria serpyllifolia,https://bs.plantnet.org/image/o/db5b793c111677b824af04db99fb204bd2a360b5,null,null,-1,-1,-1,-1,-1,-1,-1,Arenária
269,leontodon-hispidus,Leontodon hispidus,https://bs.plantnet.org/image/o/47c27c6f6768f23f50ace6f0c3eb31446b8ac675,null,null,-1,-1,-1,-1,-1,-1,-1,Cerraja
